Title,Print ISSN,e-ISSN
Clinical Pediatric Emergency Medicine,1522-8401,
Clinical Pediatrics,0009-9228,
Clinical Performance and Quality Healthcare,1063-0279,
Clinical Pharmacology & Therapeutics (Elsevier),0009-9236,
Clinical Pharmacology & Therapeutics (Nature),0009-9236,1532-6535
Clinical Physics and Physiological Measurement,0143-0815,
Clinical Physiology,0144-5979,1365-2281
Clinical Physiology and Functional Imaging,1475-0961,1475-097X
Clinical Positron Imaging,1095-0397,
Clinical Practice and Epidemiology in Mental Health (Bentham),,1745-0179
Clinical Proteomics,1542-6416,1559-0275
Clinical Psychological Science,2167-7026,2167-7034
Clinical Psychologist,1328-4207,1742-9552
Clinical Psychology & Psychotherapy,1063-3995,1099-0879
Clinical Psychology Review,0272-7358,
Clinical Psychology: Science and Practice,0969-5893,1468-2850
Clinical Pulmonary Medicine,1068-0640,
Clinical Radiology,0009-9260,
Clinical Radiology Extra,1477-6804,
Clinical Rehabilitation,0269-2155,1477-0873
Clinical Research and Regulatory Affairs (Informa),1060-1333,1532-2521
Clinical Research and Regulatory Affairs (T&F),1060-1333,1532-2521
Clinical Reviews in Allergy and Immunology,1080-0549,1559-0267
Clinical Reviews in Bone and Mineral Metabolism,1534-8644,1559-0119
Clinical Rheumatology,0770-3198,1434-9949
Clinical Risk,1356-2622,1758-1028
Clinical Science,0143-5221,1470-8736
Clinical Simulation in Nursing,1876-1399,
Clinical Social Work Journal,0091-1674,1573-3343
Clinical Supervisor,0732-5223,1545-231X
Clinical Techniques in Equine Practice,1534-7516,
Clinical Techniques in Small Animal Practice,1096-2867,
Clinical Therapeutics,0149-2918,
Clinical Toxicology (Informa),1556-3650,1556-9519
Clinical Toxicology (T&F),1556-3650,1556-9519
Clinical Transplantation,0902-0063,1399-0012
Clinical Trials,1740-7745,1740-7753
Clinical Update,1070-7212,
Clinics in Colon and Rectal Surgery,1531-0043,1530-9681
Clinics in Dermatology,0738-081X,
Clinics in Endocrinology and Metabolism,0300-595X,
Cliometrica,1863-2505,1863-2513
Cloning and Stem Cells,1536-2302,1557-7457
Clothing and Textiles Research Journal,0887-302X,1940-2473
Cluster Computing,1386-7857,1573-7543
CMIG Extra: Cases,1572-3496,
CNS Drug Reviews,1080-563X,1527-3458
CNS Neuroscience & Therapeutics,1755-5930,1755-5949
"Coaching: An International Journal of Theory, Research and Practice",1752-1882,1752-1890
Coal Preparation,0734-9343,1545-5831
Coastal Engineering,0378-3839,
Coastal Engineering Journal,0578-5634,1793-6292
Coastal Management,0892-0753,1521-0421
Cochlear Implants International (Maney),1467-0100,1754-7628
Cochlear Implants International (Wiley),1467-0100,1556-9152
Codesign,1571-0882,1745-3755
Cogeneration & Distributed Generation Journal,1545-3669,
Cogito,0950-8864,2154-3518
Cognition,0010-0277,
Cognition and Emotion,0269-9931,1464-0600
Cognition and Instruction,0737-0008,1532-690X
"Cognition, Technology & Work",1435-5558,1435-5566
Cognitive and Behavioral Neurology,1543-3633,
Cognitive and Behavioral Practice,1077-7229,
Cognitive Behaviour Therapy,1650-6073,1651-2316
Cognitive Brain Research,0926-6410,
Cognitive Computation,1866-9956,1866-9964
Cognitive Development,0885-2014,
Cognitive Linguistics,0936-5907,1613-3641
Cognitive Neurodynamics,1871-4080,1871-4099
Cognitive Neuropsychiatry,1354-6805,1464-0619
Cognitive Neuropsychology,0264-3294,1464-0627
Cognitive Neuroscience,1758-8928,1758-8936
Cognitive Processing,1612-4782,1612-4790
Cognitive Psychology,0010-0285,
Cognitive Science (Elsevier),0364-0213,
Cognitive Science (T&F),0364-0213,1551-6709
Cognitive Science (Wiley),0364-0213,1551-6709
Cognitive Systems Research,1389-0417,
Cognitive Therapy and Research,0147-5916,1573-2819
"Cognitive, Affective & Behavioral Neuroscience",1530-7026,1531-135X
Coke and Chemistry,1068-364X,1934-8398
Cold Regions Science and Technology,0165-232X,
Cold War History,1468-2745,1743-7962
Coleopterists Bulletin,0010-065X,
Coleopterists Society Monographs,1934-0451,1938-4408
Collectanea Mathematica,0010-0757,2038-4815
Collection Building,0160-4953,
Collection Management,0146-2679,1545-2549
Collection Management,0146-2679,1545-2549
College & Undergraduate Libraries,1069-1316,1545-2530
College & Undergraduate Libraries,1069-1316,1545-2530
College Mathematics Journal,0746-8342,1931-1346
College Teaching,8756-7555,1930-8299
Collegian,1322-7696,
Colloid and Polymer Science,0303-402X,1435-1536
Colloid Journal,1061-933X,1608-3067
Colloids and Surfaces,0166-6622,
Colloids and Surfaces A: Physicochemical and Engineering Aspects,0927-7757,
Colloids and Surfaces B: Biointerfaces,0927-7765,
Colon & Rectum,1951-6371,1951-638X
Colonial Latin American Review,1060-9164,1466-1802
Color Research and Application,0361-2317,1520-6378
Coloration Technology,1472-3581,1478-4408
Colorectal Disease,1462-8910,1463-1318
Columbia Journal of World Business,0022-5428,
Combinatorial Chemistry - An Online Journal,1464-3383,
"Combinatorics, Probability and Computing",0963-5483,1469-2163
Combustion and Flame,0010-2180,
Combustion Science and Technology,0010-2202,1563-521X
Combustion Theory & Modelling,1364-7830,1741-3559
"Combustion, Explosion, and Shockwaves",0010-5082,1573-8345
Comments on Inorganic Chemistry,0260-3594,1548-9574
Common Knowledge,0961-754X,1538-4578
Commonwealth Journal of Local Governance,,1836-0394
Commonwealth Law Bulletin,0305-0718,1750-5976
Communicatio,0250-0167,1753-5379
Communication & Critical/Cultural Stud,1479-1420,1479-4233
Communication & Medicine (Equinox Publishing),1612-1783,1613-3625
Communication & Medicine (Walter de Gruyter),1612-1783,1613-3625
Communication Abstracts,0162-2811,
Communication Booknotes Quarterly,1094-8007,1532-6896
Communication Disorders Quarterly,1525-7401,1538-4837
Communication Education,0363-4523,1479-5795
Communication in Statistics Part A - Theory & Methods,0361-0926,1532-415X
Communication in Statistics Part B - Simulation & Computation,0361-0918,1532-4141
Communication Law and Policy,1081-1680,1532-6926
Communication Methods and Measures,1931-2458,1931-2466
Communication Quarterly,0146-3373,1746-4102
Communication Reports,0893-4215,1745-1043
Communication Research,0093-6502,1552-3810
Communication Research Reports,0882-4096,1746-4099
Communication Review,1071-4421,1547-7487
Communication Studies,1051-0974,1745-1035
Communication Teacher,1740-4622,1740-4630
Communication Theory,1050-3293,1468-2885
"Communication, Culture & Critique",1753-9129,1753-9137
Communications,0341-2059,1613-4087
"Communications and International Conference on Newworks (MICC-ICON), Malaysia Int'l Conference on",1531-2216,
Communications Engineer,1479-8352,
Communications in Algebra,0092-7872,1532-4125
Communications in Asteroseismology,1021-2043,
Communications in Contemporary Mathematics,0219-1997,1793-6683
Communications in Mathematical Physics,0010-3616,1432-0916
Communications in Nonlinear Science and Numerical Simulation,1007-5704,
Communications in Numerical Methods in Engineering,1069-8299,1099-0887
Communications in Partial Differential Equations,0360-5302,1532-4133
Communications in Soil Science & Plant Analysis,0010-3624,1532-2416
Communications in Statistics. Stochastic Models,0882-0287,
Communications in Theoretical Physics,0253-6102,
Communications Monograph,0363-7751,1479-5787
Communications of the ACM,0001-0782,1557-7317
Communications on Pure and Applied Mathematics,0010-3640,1097-0312
Communications Society: A Digest of News and Events of Interest to Communications Engineers,0094-5579,
Communio,0094-2065,
Communist Affairs,0588-8174,
Communist and Post-Communist Studies,0967-067X,
Community & Junior College Libraries,0276-3915,1545-2522
Community & Junior College Libraries,0276-3915,1545-2522
Community College Journal of Research and Practice,1066-8926,1521-0413
Community College Review,0091-5521,1940-2325
Community Dentistry and Oral Epidemiology,0301-5661,1600-0528
Community Development,1557-5330,1944-7485
Community Development Journal,0010-3802,1468-2656
Community Ecology,1585-8553,1588-2756
Community Genetics,1422-2795,1422-2833
Community Junior College Research Quarterly of Research and Practice,0277-6774,
Community Mental Health Journal,0010-3853,1573-2789
Community Mental Health Review,0363-1605,
"Community, Work & Family",1366-8803,1469-3615
Comparative & Continental Philosophy,1757-0638,1757-0646
Comparative American Studies (Maney),1477-5700,1741-2676
Comparative American Studies (Sage),1477-5700,1741-2676
Comparative and Functional Genomics (Hindawi),1531-6912,1532-6268
Comparative and Functional Genomics (Wiley),1531-6912,1532-6268
Comparative and General Pharmacology,0010-4035,
Comparative Biochemistry and Physiology,0010-406X,
Comparative Biochemistry and Physiology - Part A: Molecular & Integrative Physiology,1095-6433,
Comparative Biochemistry and Physiology - Part A: Physiology,0300-9629,
Comparative Biochemistry and Physiology - Part B: Biochemistry & Molecular Biology,0305-0491,
Comparative Biochemistry and Physiology - Part B: Biochemistry & Molecular Biology,1096-4959,
Comparative Biochemistry and Physiology - Part C: Comparative Pharmacology,0306-4492,
"Comparative Biochemistry and Physiology - Part C: Pharmacology, Toxicology & Endocrinology",0742-8413,
Comparative Biochemistry and Physiology - Part C: Toxicology & Pharmacology,1532-0456,
"Comparative Biochemistry and Physiology, Part D: Genomics and Proteomics",1744-117X,
"Comparative Biochemistry and Physiology. Part C: Pharmacology, Toxicology & Endocrinology",1367-8280,
Comparative Clinical Pathology,1618-5641,1618-565X
Comparative Critical Studies,1744-1854,1750-0109
Comparative Economic Studies,0888-7233,1478-3320
Comparative Education,0305-0068,1360-0486
Comparative Education Review,0010-4086,1545-701X
Comparative European Politics,1472-4790,1740-388X
Comparative Hepatology,,1476-5926
"Comparative Immunology, Microbiology & Infectious Diseases",0147-9571,
Comparative Islamic Studies,1740-7125,1743-1638
Comparative Literature,0010-4124,1945-8517
Comparative Literature Studies,0010-4132,1528-4212
Comparative Parasitology,1525-2647,
Comparative Political Studies,0010-4140,1552-3829
Comparative Sociology,1569-1322,1569-1330
Comparative Strategy,0149-5933,1521-0448
"Comparative Studies of South Asia, Africa and the Middle East",1089-201X,1548-226X
Comparative Technology Transfer and Society,1542-0132,1543-3404
Compare: A Journal of Comparative Education,0305-7925,1469-3623
COMPEL: The International Journal for Computation and Mathematics in Electrical and Electronic Engineering,0332-1649,
Compensation & Benefits Review,0886-3687,1552-3837
Competition & Change,1024-5294,1477-2221
Competitive Intelligence Review,1058-0247,1520-6386
Competitiveness Review: An International Business Journal,1059-5422,
Complementary Health Practice Review,1533-2101,1552-3845
Complementary Therapies in Clinical Practice,1744-3881,
Complementary Therapies in Medicine,0965-2299,
Complementary Therapies in Nursing & Midwifery,1353-6117,
Complex Analysis and Operator Theory,1661-8254,1661-8262
Complex Variables,0278-1077,1563-5066
Complex Variables and Elliptic Equations,1747-6933,1747-6941
Complexity,1076-2787,1099-0526
ComPlexUs Ceased Publication,1424-8492,1424-8506
Composite Interfaces,0927-6440,1568-5543
Composite Structures,0263-8223,
Composites,0010-4361,
Composites Business Analyst,1464-2840,
Composites Engineering,0961-9526,
Composites Part A: Applied Science and Manufacturing,1359-835X,
Composites Part B: Engineering,1359-8368,
Composites Science and Technology,0266-3538,
"Composites: Mechanics, Computations, Applications",2152-2057,2152-2073
"Compound Semiconductor Integrated Circuit Symposium (CSICS), IEEE",1550-8781,
Comprehensive Psychiatry,0010-440X,
Comprehensive Reviews in Food Science and Food Safety,,1541-4337
Comptes Rendus Biologies,1631-0691,
Comptes Rendus Chimie,1631-0748,
Comptes Rendus de l'Académie des Sciences - Series I - Mathematics,0764-4442,
Comptes Rendus de l'Académie des Sciences - Series IIA - Earth and Planetary Science,1251-8050,
Comptes Rendus de l'Académie des Sciences - Series IIB - Mechanics,1620-7742,
Comptes Rendus de l'Académie des Sciences - Series IIB - Mechanics-Physics-Astronomy,1287-4620,
Comptes Rendus de l'Académie des Sciences - Series IIB - Mechanics-Physics-Chemistry-Astronomy,1251-8069,
Comptes Rendus de l'Académie des Sciences - Series IIC - Chemistry,1387-1609,
Comptes Rendus de l'Académie des Sciences - Series III - Sciences de la Vie,0764-4469,
Comptes Rendus de l'Académie des Sciences - Series IV - Physics-Astrophysics,1296-2147,
Comptes Rendus Geoscience,1631-0713,
Comptes Rendus Mathematique,1631-073X,
Comptes Rendus Mecanique,1631-0721,
Comptes Rendus Palevol,1631-0683,
Comptes Rendus Physique,1631-0705,
Computational & Mathematical Organization Theory,1381-298X,1572-9346
Computational and Mathematical Methods in Medicine (Hindawi),1748-670X,1748-6718
Computational and Mathematical Methods in Medicine (T&F),1748-670X,1748-6718
Computational and Theoretical Polymer Science,1089-3156,
Computational Biology and Chemistry,1476-9271,
Computational Complexity,1016-3328,1420-8954
"Computational Complexity, IEEE Annual Conference on",1093-0159,
Computational Economics,0927-7099,1572-9974
Computational Geometry,0925-7721,
Computational Geosciences,1420-0597,1573-1499
Computational Intelligence,0824-7935,1467-8640
Computational Intelligence and Neuroscience,1687-5265,1687-5273
Computational Linguistics,0891-2017,1530-9312
Computational Management Science,1619-697X,1619-6988
Computational Materials Science,0927-0256,
Computational Mathematics and Mathematical Physics (Elsevier),0965-5425,
Computational Mathematics and Mathematical Physics (Springer),0965-5425,1555-6662
Computational Mathematics and Modeling,1046-283X,1573-837X
Computational Mechanics,0178-7675,1432-0924
Computational Optimization and Applications,0926-6003,1573-2894
Computational Science & Discovery,1749-4680,1749-4699
Computational Statistics,0943-4062,1613-9658
Computational Statistics & Data Analysis,0167-9473,
Computational Thermal Sciences: An International Journal,1940-2503,1940-2554
Computer,0018-9162,
Computer Aided Geometric Design,0167-8396,
Computer Aided Surgery (Informa),1092-9088,1097-0150
Computer Aided Surgery (T&F),1092-9088,1097-0150
Computer Aided Surgery (Wiley),1092-9088,1097-0150
Computer Animation and Virtual Worlds,1546-4261,1546-427X
"Computer Animation, Proceedings of",1087-4844,
Computer Applications in Engineering Education,1061-3773,1099-0542
"Computer Architecture (ISCA), Proceedings of the Annual International Symposium on",1063-6897,
"Computer Arithmetic, IEEE Symposium on",1063-6889,
Computer Assisted Language Learning,0958-8221,1744-3210
Computer Audit Update,0960-2593,
Computer Communications,0140-3664,
"Computer Communications and Networks (IC3N), Proceedings of the IEEE International Conference on",1095-2055,
Computer Compacts,0167-7136,
"Computer Design (ICCD '99), IEEE International Conference on",1063-6404,
Computer Fraud & Security,1361-3723,
Computer Fraud & Security Bulletin,0142-0496,
Computer Graphics and Image Processing,0146-664X,
"Computer Graphics and Image Processing (SIBGRAPI), Proceedings of the Brazilian Symposium on",1530-1834,
Computer Graphics Forum,0167-7055,1467-8659
Computer Graphics International (CGI) Proceedings,1530-1052,1558-3880
Computer Integrated Manufacturing Systems,0951-5240,
Computer Journal,0010-4620,1460-2067
Computer Languages,0096-0551,
"Computer Languages, Systems & Structures",1477-8424,
Computer Law & Security Report,0267-3649,
Computer Methods and Programs in Biomedicine,0169-2607,
Computer Methods in Applied Mechanics and Engineering,0045-7825,
Computer Methods in Biomechanics & Biomedical Engineering,1025-5842,1476-8259
Computer Music Journal,0148-9267,1531-5169
Computer Networks,1389-1286,
Computer Networks (1976),0376-5075,
Computer Networks and ISDN Systems,0169-7552,
Computer Physics Communications,0010-4655,
Computer Physics Reports,0167-7977,
Computer Programs in Biomedicine,0010-468X,
Computer Science - Research and Development,1865-2034,1865-2042
Computer Science Education,0899-3408,1744-5175
Computer Science Review,1574-0137,
"Computer Security Foundations Workshop (CSFW), Proceedings of the IEEE",1063-6900,
Computer Software and Applications Conference (COMPSAC) Proceedings of the IEEE International,0730-3157,
Computer Speech and Language,0885-2308,
Computer Standards & Interfaces,0920-5489,
Computer Supported Cooperative Work (CSCW),0925-9724,1573-7551
